ID,Year of Voyage,Vessel Flag,Vessel Name,Name of master or author,Original Port,Places Visited,Items Traded,Archival location of ship log,Source ,Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1858,USA,Arabia,John Wallis,Salem,Zanzibar,,,"History of Essex County, 85","off the Cape, brought on the crew of the Aridne from Bombay to Boston but not enough water, entered Table Bay but struck a reef",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1839,USA,Archibald Gracie,,New York,"Cape, Zanzibar, Muscat, Bombay",,,NEM 210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1855,USA,Argentine,H B Putnam,Salem,"Nosy Be, Majunga, Zanzibar",,PE Log 703 and 1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1859,USA,Argentine,John L.,Salem,Zanzibar,,PEM ,https://beta.worldcat.org/archivegrid/collection/data/830838526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1837,USA,Armata,Butler,New London,Maritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1805,USA,Arris?,,Boston,Zanzibar,trade in cloves,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1845,GBR,Arrow,,London,ZAnzibar,,,NEM 266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1858,USA,Arthur Pickering,,,"Majunga, Nosy Be, Zanzibar",,PE Log 1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1792,USA,Asia,Elijah Coffin,Nantucket,Antongil Bay,whaling,Nantucket Historical association ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1802,USA,Astrea,Stanwood,Boston,"Maritius, Batavia",,,NEM: 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1868,USA,Atlanta,John Pond,Salem,"Zanzibar, Muscat, Aden",,"Putnam, 69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1787,USA,Atlantic,,Salem,Maritius,,,"Bean, Yankee India, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1835,USA,Atlantic,Hunting Cooper,"Bridgeport, CN",Saint Auguastine Bay,whaling,Mystic Seaport MUSAeum,NBWM 411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1838,USA,Atlantic,Paste,"Bridgeport, CN","Madagascar, Maritius",whaling,Mystic Seaport MUSAeum,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
