ID,Year of Voyage,Vessel Flag,Vessel Name,Name of master or author,Original Port,Places Visited,Items Traded,Archival location of ship log,Source ,Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,1835,USA,Favorite,,,Saint Auguastine Bay,whaling,NBWM ODHS 240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,1826,USA,Fawn,Robert BrookhoUSAe owner,Salem,Majunga,,,"Putnam, vol 3 107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,1854,USA,Florence,Charles Barton,Warren,"Zanzibar, Nosy Be",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541107.pdf; NEM 498; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18540606.pdf,whaling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,1837,USA,Florida,Maxfield,New Bedford,Maritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,1838,USA,Florida,Maxfield,,Saint Auguastine Bay,,,NBWM ODHS 880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,1847,USA,Florida,Gray,New Bedford,Saint Auguastine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480404.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,1849,USA,Florida,Weeks,New Bedford,"Maritius, Mozambique Channel",whaling,New Bedford Whaling MUSAeum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,1839,GBR,Formidible,Le Fort,MauritiUSA,Majunga,,John Study Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,1846,USA,Foster,Coffin,Nantucket,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18461201.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,1837,GBR,Fox,,London,Zanzibar,,,NEM 195,owned by Newman Hunt and Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,1832,USA,Frances,John Briggs,New Bedford,Saint Auguastin Bay,whaling,NBWM 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,1846,USA,Frances,Reuben Taber Jr,New Bedford,"Saint Auguastin Bay, Maritius",whaling,Kendall Whaling MUSAeum,NARA reel 2; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18460818.pdf,destroyed by fire in MauritiUSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,1846,USA,Francis,Smith,New Bedford,Johanna,whaling,,NBWM 259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,1843,USA,Franklin,Barton,Warren,Comoros,whaling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,1847,USA,Franklin,,,Nosy Be,whaler,,seen by the Star (PE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,1848,USA,Franklin,Barton,Warren,"Johanna, Nosy Be",whaling,,,http://library.mysticseaport.org/Images/wsl/18481205.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,1847,USA,Friendship,Stott?,F Haven?,Nosy Be,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480118.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,1855,?,Ganymede,Newburyport,Bramhall,"Maritius, Sydney",,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,1839,GBR,Gazelle,,,Majunga,,John Study Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,1840,USA,Gazelle,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,1852,GBR,Gazelle,,,Zanzibar,cloves,,NEM 494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,1835,USA,General Jackson,Perceival,Boston,"Maritius, Zanzibar",whaling,New Bedford Whaling MUSAeum,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,1836,USA,General Pike,,,Saint Auguastine Bay,whaling,,NBWM 411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,1836,USA,General Pike,,,Saint Auguastin Bay,whaling,,,one of the crew killed by Malagasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,1838,USA,General Pike,Faber,New Bedford,"Port Choiseuil, Maritius",whaling,Smithsonian Institute,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,1847,USA,General Scott,Fisher,Fairhaven,Rodriguez,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480201.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,1837,USA,GeneroUSA,Benjamin Conant,Salem,"Zanzibar, Majunga, Mozambique, Zanzibar, Majunga, Bourbon, Zanzibar",,Ms Peabody MUSAem,"NEM 189; RW, 4: 1",carrying Waters to Zanzibar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1846,USA,Gentleman,Port,New Suffolk,Johanna,whaling,,NBWM 259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,1849,USA,Gentleman,Cartwright,New Suffolk,Saint Auguastine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18490904.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,1853,USA,Genva (Geneva?),,Boston,Maritius,,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530920.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,1845,FRA,Geo Curier,,,Zanzibar,,,NEM 348,from Reunion?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,1797,USA,George,John Rodes,Salem?,"St Luce, Maritius",,,"ToUSAsaint, Early American Trade, 74 (F4 MauritiUSA Archives))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,1798,USA,George,John Rodes,Salem?,"Foulpointe, Maritius",,,"ToUSAsaint, Early American Trade, 75 (F4 MauritiUSA Archives))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,1833,USA,George,George Conden,Nantucket,Saint Auguastine Bay,whaling,,NBWM 721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,1835,USA,George,Congedon,Nantucket,Saint Auguastin Bay,whaling,,NBWM 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,1837,USA,George and Martha,Allen,New Bedford,Maritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,1843,USA,George and Martha,Smalley,New Bedford,Saint Auguastine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,1848,USA,George Porter,Ellis,New Bedford,"Nosy Be, Anjouan",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500806.pdf;http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18481205.pdf,"reported abandoned in Mahe 1850, boarded the Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,1837,USA,George Washington,Barker,New London,Maritius,whaling,Providence Public Library,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,1844,USA,George Washington,Taylor,New Bedford,"Sainte Marie, Maritius",whaling,New Bedford whaling mUSAeum,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,1846,USA,George Washington,Amos Baker,New Bedford,"Sainte Marie, Maritius; Anjouan",whaling,Old Darthmouth Historical society,NARA reel 2; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18470202.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,1848,USA,George Washington,Amos C. Baker,New Bedford,"Anjouan, Ile Sainte Marie, Zanzibar",whaling,Mystic,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480118.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510304.pdf,put into Zanzibar for repairs 1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,1851,USA,George Washington,Edwards,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520203.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,1833,USA,Georgia,Charles O. Brewster,New London,Saint Auguastin Bay,whaling,Mystic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,1835,USA,Georgia,Frederick Peabody,New London,Saint Auguastin Bay,whaling,Mystic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,1840,USA,Georgia,Pedleton,New London,Maritius,whaling,Connecticut State Library,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,1857,USA,Gertrude,,New Bedford/Boston,Maritius,ice,,http://images.mysticseaport.org/images/wsl/18570825.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,1861,USA,Glide,John McMullan,Salem,"Zanzibar, Aden",,,"Putnam, 64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,1862,USA,Glide,John McMullan,Salem,Zanzibar,,,"Putnam, 65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1863,USA,Glide,John McMullan,Salem,"Zanzibar, Mozambique, Aden",,,"Putnam, 65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,1864,USA,Glide,John McMullan,Salem,"Zanzibar, Aden, Mozambique",,,"Putnam, 66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,1865,USA,Glide,,,"Majunga, Zanzibar",,"PE Log 1571, Charles A Benson papers, MSS 15, PutnM 66-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,1866,USA,Glide,William Hathorne,Salem,"Zanzibar, Aden, Muscat, Mozambique",,,"Putnam, 67-8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1867,USA,Glide,William Hathorne,Salem,"Tamatave, Zanzibar, Muscat",,,"Putnam, 68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,1868,USA,Glide,William Hathorne,Salem,"Tamatave, Zanzibar, Muscat",,,"Putnam, 69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,1869,USA,Glide,William Hathorne,Salem,"Madagascar, Zanzibar",,,Putnam 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,1870,USA,Glide,James Williams,Salem,"Zanzibar, Muscat",,,"Putnam , 73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,1871,USA,Glide,James Williams,Boston,"Zanzibar, Tamatave",,,"Putnam, 73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,1872,USA,Glide,Stephen Cloutman,Boston,"Mozambique, Zanzibar   ",,,"Putnam, 74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,1873,USA,Glide,Stephen Cloutman,Boston,"Zanzibar, Aden",,,"Putnam, 75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,1874,USA,Glide,Stephen Cloutman,Boston,"Tamatave, Zanzibar, Aden",,,"Putnam, 75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,1875,USA,Glide,Nathan Batchelder,Boston,"Tamatave, Zanzibar",,,"Putnam, 75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,1876,USA,Glide,William Beadle,Boston,"Zanzibar, Aden",,,"Puntam, 92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,1876,USA,Glide,Nathan Batchelder,Boston,"Tamatave, Zanzibar, Aden",,,"Putnam, 76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,1877,USA,Glide,William Beadle,Boston,"Zanzibar, Tamatave",,,"Puntam, 98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,1878,USA,Glide,William Beadle,Boston,"Zanzibar, Aden, Tamatave",,,"Putnam, 93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,1879,USA,Glide,William Beadle,Boston,"Tamatave, Zanzibar, Majunga",,,"Putnam, 94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,1880,USA,Glide,William Beadle,Boston,"Tamatave, Zanzibar, Majunga, Maritius",,,"Putnam, 94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,1881,USA,Glide,William Beadle,Boston,"Tamatave, Aden",,,"Putnam, 95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,1881,USA,Glide,William Beadle,Boston,"Aden, Tamatave",,,"Putnam, 96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,1882,USA,Glide,William Beadle,Boston,"Zanzibar, Aden",,,"Putnam, 96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1883,USA,Glide,Sellin,Boston,"Aden, Nosy Be, Tamatave",,,"Putnam, 97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,1884,USA,Glide,William Savory,Boston,"Reunion, Tamatave, Zanzibar",,,"Putnam, 97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,1885,USA,Glide,Howes,Boston,Nosy Be,,,"Putnam, 100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,1886,USA,Glide,Terwilegar,Boston,"Tamatave, Vatomandry, Zanzibar",,,"Putnam, 100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1887,USA,Glide,Terwilegar,Boston,Tamatave,,,"Putnam, 101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,1888,USA,Glide,Terwilegar,Boston,Tamatave,,,"Putnam, 103",wrecked off the coast of Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,1851,USA,Globe,Handy,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18511209.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18511202.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18511118.pdf,"wrecked off the Bhring Straits, East Cape",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,1836,USA,Golconda,Chase,New Bedford,Saint Auguastine Bay,whaling,NBWM ODHS 373,NBWM 411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,1835,USA,Good Return,,,Saint Auguastin Bay,whaling,,NBWM 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,1842,USA,Good Return,John Smith Taber,New Bedford,"Maritius, Sofala, Saint Auguastin Bay",whaler,NWBM 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1852,USA,Governor Carver,West,Westport,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530104.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,1855,USA,Governor Carver,Higgins,Westport,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551106.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,1858,USA,Governor Carver,Beebe,Westport,Zanzibar,whaling,,http://images.mysticseaport.org/images/wsl/18580727.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,1848,USA,Governor Hopkins,Pease,Dartmouth,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480815.pdf,"""crew in state of mutiny""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,1852,USA,Governor Hopkins,Taylor,Dartmouth,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520803.pdf,wrecked off Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,1787,USA,Grand Turk,,Salem,Maritius,,,"Bean, Yankee India, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,1835,USA,Grand Turk,David H. Bartlett,New Bedford,"Saint Augistine Bay, Mokamba Bay",whaling,NBWM ODHS 327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,1837,USA,Grand Turk,Luther Little,Portsmouth,"Maritius, Madagascar",whaling,http://pplspc.org/nicholson/rj5_nicholson_289/pdf/rj5_nicholson_289r.pdf and http://pplspc.org/nicholson/rj5_nicholson_288/pdf/rj5_nicholson_288r.pdf,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,1835,GBR,Grasshopper,Billinghunt,London,Zanzibar,whaling,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,1851,FRA,Grenouila,,,Nosy Be,,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520615.pdf,picked up crew of the JuniUSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,1857,USA,Guide,,,"Majunga, Zanzibar",,PE Log 735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,1858,USA,Guide,,,"Nosy Be, Tamatave",,Pe Log 749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1860,USA,Guide,McMullen,Salem,Zanzibar,,,"History of Essex County, 85","wrecked off Ras Hoforn in east Africa, cargo lost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,1846,USA,Guilford,Benjamin Jackson,,"Nosy Be, Muscat, Bombay",,PE Log 1610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,1852,USA,Gypsy,Mickell,New Bedford,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530104.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,1856,USA,H. H. Crapo,Baker,Dartmouth,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18570414.pdf;http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18561209.pdf,lost off the Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,1834,USA,Halycon,Thompson,New London,"Saint Auguastin Bay, Maritius",whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,1842,USA,Harbinger,Ephraim Gifford,"Westport, MA",Madagascar,whaling,new bedford whaling mUSAeum and library - in catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,1845,USA,Harbinger,Samuel Brownell,"Westport, MA","Madagascar, Anjouan, Seychelles",whaling,new bedfor whaling library - in catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,1846,USA,Harbinger,Brownell,"Westport, MA","Johanna, Nosy Be",whaling,,NBWM 259; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18461201.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,1846,USA,Harriet,Bowen,Warren,Johanna,whaling,,NBWM 259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,1855,USA,Harrison,Braley,New Bedford,"Johanna, Maritius",whaling,NBWM 261,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551113.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,1845,USA,Harvest,Brooks,"Bridgeport, CN",Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18451104.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,1839,GBR?,Hawk,,,Majunga,,John Study Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,1855,USA,Hecla,Gifford,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,1845,USA,Hector,William Martin,"Warren, RI",Nosy Be,whaling,New Bedford whaling library - in catalog,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18470202.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,1847,USA,Hector,Martin,,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18471207.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,1848,USA,Hector,Cutler,Warren,Nosy Be,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18490703.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,1851,USA,Hector,Cole,Warren,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18511118.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,1854,USA,Hector,Charles A Johnson,Warren,"Zanzibar, Nosy Be, Johanna",whaling,Old Darthmouth Historical society,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541107.pdf; NEM 498; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18540606.pdf,whaling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1857,USA,Hector,Johnson,Warren,Zanzibar,whaling,,http://images.mysticseaport.org/images/wsl/18570825.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,1810,USA,Helen,Greenway,New Bedford,Maritius,trade,NBWM 601 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,1855,USA,Helen AugUSAta,Marble,Newport,"Maritius, Java",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf,men had deserted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,1787,USA,Henry,,Salem,Maritius,,,"Bean, Yankee India, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,1791,USA,Henry,Jacob Crowninshield,Salem,Maritius,"took assorted goods, bought sugar",,"History of Essex County, pg 82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,1849,USA,Henry,Lowen,Sag Harbor,Saint Auguastine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18490904.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,1832,USA,Herald,Frederick Ricketson,New Bedford,"Madagascar, Seychelles",whaling,New Bedford whaling library - in catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,1834,USA,Herald,Frederick Ricketson,New Bedford,Mohilla,whaling,NBWM ODHS 770,,"provisioning, see native ships from Madagascar to Mohilla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,1835,USA,Herald,,,Saint Auguastin Bay,whaling,,NBWM 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,1837,USA,Herald,,New Bedford,Saint Auguastine Bay,whaling,NBWM ODHS 364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,1843,USA,Herald,Hathaway,Fairhaven,"Saint Auguastine Bay, Maritius",whaling,,"NARA reel 2, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430801.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,1845,USA,Herald,Luce,Fairhaven,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18460407.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,1846,USA,Herald,Barker,Stonnington,"Nosy Be, Maritius, Johanna",whaling,,NBWM 259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,1857,USA,Herald,Slocum,New Bedford,"Saint Auguastin Bay, Maritius",whaling,,NBWM 137; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18570707.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,1868,USA,Herald,John R. Sturgis,New Bedford,Anjouan,whaler,NBWM 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,1835,USA,Hercules,Chase,New Bedford,Saint Auguastine Bay,whaling,NBL 33,MBWM 971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,1844,USA,Hercules,Marvell,New Bedford,Saint Auguastine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18440604.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,1846,USA,Hercules,Marvel ,New Bedford,"Johanna, Maritius",whaler,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18470202.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,1841,USA,Hibernia,Cooke,New Bedford,"Maritius, Sainte Marie",whaling,http://pplspc.org/nicholson/rj5_nicholson_326/pdf/rj5_nicholson_326r.pdf,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,1843,USA,Hibernia,Isaac Sanford,New Bedford,Maritius,whaling,"NBWM 22, NBL 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,1844,USA,Highlander?,,New Bedford,Madagascar,whaler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,1793,USA,Hind,John Beckford,Salem,Maritius ,,,"History of Essex County, 82-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,1796,USA,Hope,Samuel Lambert,Salem?,Maritius,,,"History of Essex County, pg 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,1826,USA,Hope,,Salem,Madagascar,,PEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,1844,USA,Hope,Taylor,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18440903.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,1845,USA,Hope,Ellis,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18460908.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,1854,USA,Hope,Waite,New Bedford,"Maritius, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf;http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18540801.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
