Date (visiting Madagascar),Flag,AAA Name of ship,Name of master or author,Original Port,Places visited,Trade?,Archival location of ship log,Source ,Details,Madagascar ports,date in,date out,goods bought,goods sold,details,second stop,date in,date out,third stop,date in,date out,fourth stop,date in,date out,fifth stop,date in,date out,sixth stop,date in ,date out,7 stop,date in ,date out,8 stop,date in,date out,8 stop,date in,date ou,,,,,,
1856,US,Eugenia,Cottle,New Bedford,"Tulear, MAuritius",whaling,NBL 24; http://library.mysticseaport.org/Images/wsl/18561209.pdf,,,Tulear ,18-Dec,29-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,US,Eureka,Pease,Edgartown,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/wsl/18580831.pdf,,Saint Augustine Bay,April 1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Europa,Phinney,New Bedford,Augustine Bay,whaling,,http://images.mysticseaport.org/images/wsl/18571229.pdf,,Augustine Bay,"September 16, 1857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Exchange,Merry,Warren,Nosy Be,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450107.pdf,,Nosy Be,04-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Exchange,Thomas Merry,New Bedfrd,Nosy Be,whaling,NBL 25,,,Nosy Be,05-May,12-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,UK,Falcon,,,Mauritius,,,"Holman, 414",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Falcon,,,Saint Augustine Bay,whaling,,NBWM KWM 597,,Saint Augustine Bay,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Falcon,Taber,New Bedford,"Saint Augustin Bay, Mauritius",whaling,RP/ http://pplspc.org/nicholson/rj5_nicholson_246/pdf/rj5_nicholson_246r.pdf,NARA reel 1,,Saint Augustin Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,US,Falcon,Francis Dougherty,New Bedford,Madagascar,whaling,New Bedford whaling library - in catalog,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Fama,Littlefield,Bristol,Saint Augustin Bay,whaling,,NBWM 24,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,US,Fanny,Cloud,,"Cape, Mauritius",,,NEM: 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Favorite,,,Saint Augustine Bay,whaling,NBWM ODHS 240,,,Saint Augustine Bay,23-Jul,11-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,US,Fawn,Robert Brookhouse owner,Salem,Majunga,,,"Putnam, vol 3 107",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,US,Florence,Charles Barton,Warren,"Zanzibar, Nosy Be",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541107.pdf; NEM 498; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18540606.pdf,whaling,Nosy Be,"May 30, 1854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Florida,Maxfield,New Bedford,Mauritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Florida,Maxfield,,Saint Augustine Bay,,,NBWM ODHS 880,,Saint Augustine Bay,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Florida,Gray,New Bedford,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480404.pdf,,Saint Augustine Bay,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,Florida,Weeks,New Bedford,"Mauritius, Mozambique Channel",whaling,New Bedford Whaling Museum,,,,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,UK,Formidible,Le Fort,Mauritius,Majunga,,John Study Leigh,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Foster,Coffin,Nantucket,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18461201.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,UK,Fox,,London,Zanzibar,,,NEM 195,owned by Newman Hunt and Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,US,Frances,John Briggs,New Bedford,Saint Augustin Bay,whaling,NBWM 90,,,Saint Augustine Bay,29-Jan,02-Feb,description of provisioning ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Frances,Reuben Taber Jr,New Bedford,"Saint Augustin Bay, Mauritius",whaling,Kendall Whaling Museum,NARA reel 2; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18460818.pdf,destroyed by fire in Mauritius,Saint Augustine Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Francis,Smith,New Bedford,Johanna,whaling,,NBWM 259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Franklin,Barton,Warren,Comoros,whaling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Franklin,,,Nosy Be,whaler,,seen by the Star (PE),,Nosy Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,Franklin,Barton,Warren,"Johanna, Nosy Be",whaling,,,http://library.mysticseaport.org/Images/wsl/18481205.pdf,Nosy Be,"August 12, 1848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Friendship,Stott?,F Haven?,Nosy Be,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480118.pdf,,Nosy Be,,10-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,?,Ganymede,Newburyport,Bramhall,"Mauritius, Sydney",,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,UK,Gazelle,,,Majunga,,John Study Leigh,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,US,Gazelle,,,Madagascar,,,,,Madagascar,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,UK,Gazelle,,,Zanzibar,cloves,,NEM 494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,Us,General Jackson,Perceival,Boston,"Mauritius, Zanzibar",whaling,New Bedford Whaling Museum,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,General Pike,,,Saint Augustine Bay,whaling,,NBWM 411,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,General Pike,,,Saint Augustin Bay,whaling,,,one of the crew killed by Malagasy,Saint Augustin Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,General Pike,Faber,New Bedford,"Port Choiseuil, Mauritius",whaling,Smithsonian Institute,NARA reel 1,,Port Choiseuil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,General Scott,Fisher,Fairhaven,Rodriguez,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480201.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Generous,Benjamin Conant,Salem,"Zanzibar, Majunga, Mozambique, Zanzibar, Majunga, Bourbon, Zanzibar",,Ms Peabody Musem,"NEM 189; RW, 4: 1",carrying Waters to Zanzibar,Majunga,25-Jan,11-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Gentleman,Port,New Suffolk,Johanna,whaling,,NBWM 259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,Gentleman,Cartwright,New Suffolk,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18490904.pdf,,Saint Augustine Bay,"March 16, 1849",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,US,Genva (Geneva?),,Boston,Mauritius,,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530920.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,French,Geo Curier,,,Zanzibar,,,NEM 348,from Reunion?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,US,George,John Rodes,Salem?,"St Luce, Mauritius",,,"Toussaint, Early American Trade, 74 (F4 Mauritius Archives))",,St Luce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,US,George,John Rodes,Salem?,"Foulpointe, Mauritius",,,"Toussaint, Early American Trade, 75 (F4 Mauritius Archives))",,Foulpointe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,US,George,George Conden,Nantucket,Saint Augustine Bay,whaling,,NBWM 721,,Saint Augustine Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,George,Congedon,Nantucket,Saint Augustin Bay,whaling,,NBWM 24,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,George and Martha,Allen,New Bedford,Mauritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,George and Martha,Smalley,New Bedford,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf,,Saint Augustine Bay,08-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,George Porter,Ellis,New Bedford,"Nosy Be, Anjouan",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500806.pdf;http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18481205.pdf,"reported abandoned in Mahe 1850, boarded the Phoenix",Nosy Be,"July 9, 1848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,George Washington,Barker,New London,Mauritius,whaling,Providence Public Library,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,George Washington,Taylor,New Bedford,"Sainte Marie, Mauritius",whaling,New Bedford whaling museum,NARA reel 2,,Sainte Marie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,George Washington,Amos Baker,New Bedford,"Sainte Marie, Mauritius; Anjouan",whaling,Old Darthmouth Historical society,NARA reel 2; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18470202.pdf,,Sainte Marie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,George Washington,Amos C. Baker,New Bedford,"Anjouan, Ile Sainte Marie, Zanzibar",whaling,Mystic,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480118.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510304.pdf,put into Zanzibar for repairs 1850,Sainte Marie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,George Washington,Edwards,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520203.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,US,Georgia,Charles O. Brewster,New London,Saint Augustin Bay,whaling,Mystic,,,Saint Augustine Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Georgia,Frederick Peabody,New London,Saint Augustin Bay,whaling,Mystic,,,Saint Augustine Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,US,Georgia,Pedleton,New London,Mauritius,whaling,Connecticut State Library,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Gertrude,,New Bedford/Boston,Mauritius,ice,,http://images.mysticseaport.org/images/wsl/18570825.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,US,Glide,John McMullan,Salem,"Zanzibar, Aden",,,"Putnam, 64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,US,Glide,John McMullan,Salem,Zanzibar,,,"Putnam, 65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,US,Glide,John McMullan,Salem,"Zanzibar, Mozambique, Aden",,,"Putnam, 65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,US,Glide,John McMullan,Salem,"Zanzibar, Aden, Mozambique",,,"Putnam, 66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,US,Glide,,,"Majunga, Zanzibar",,"PE Log 1571, Charles A Benson papers, MSS 15, PutnM 66-7",,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,US,Glide,William Hathorne,Salem,"Zanzibar, Aden, Muscat, Mozambique",,,"Putnam, 67-8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,US,Glide,William Hathorne,Salem,"Tamatave, Zanzibar, Muscat",,,"Putnam, 68",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,US,Glide,William Hathorne,Salem,"Tamatave, Zanzibar, Muscat",,,"Putnam, 69",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,US,Glide,William Hathorne,Salem,"Madagascar, Zanzibar",,,Putnam 71,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,US,Glide,James Williams,Salem,"Zanzibar, Muscat",,,"Putnam , 73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,US,Glide,James Williams,Boston,"Zanzibar, Tamatave",,,"Putnam, 73",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,US,Glide,Stephen Cloutman,Boston,"Mozambique, Zanzibar   ",,,"Putnam, 74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,US,Glide,Stephen Cloutman,Boston,"Zanzibar, Aden",,,"Putnam, 75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,US,Glide,Stephen Cloutman,Boston,"Tamatave, Zanzibar, Aden",,,"Putnam, 75",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,US,Glide,Nathan Batchelder,Boston,"Tamatave, Zanzibar",,,"Putnam, 75",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,US,Glide,William Beadle,Boston,"Zanzibar, Aden",,,"Puntam, 92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,US,Glide,Nathan Batchelder,Boston,"Tamatave, Zanzibar, Aden",,,"Putnam, 76",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,US,Glide,William Beadle,Boston,"Zanzibar, Tamatave",,,"Puntam, 98",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,US,Glide,William Beadle,Boston,"Zanzibar, Aden, Tamatave",,,"Putnam, 93",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,US,Glide,William Beadle,Boston,"Tamatave, Zanzibar, Majunga",,,"Putnam, 94",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,US,Glide,William Beadle,Boston,"Tamatave, Zanzibar, Majunga, Mauritius",,,"Putnam, 94",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,US,Glide,William Beadle,Boston,"Tamatave, Aden",,,"Putnam, 95",,TAmatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,US,Glide,William Beadle,Boston,"Aden, Tamatave",,,"Putnam, 96",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,US,Glide,William Beadle,Boston,"Zanzibar, Aden",,,"Putnam, 96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,US,Glide,Sellin,Boston,"Aden, Nosy Be, Tamatave",,,"Putnam, 97",,Nosy Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,US,Glide,William Savory,Boston,"Reunion, Tamatave, Zanzibar",,,"Putnam, 97",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,US,Glide,Howes,Boston,Nosy Be,,,"Putnam, 100",,Nosy Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,US,Glide,Terwilegar,Boston,"Tamatave, Vatomandry, Zanzibar",,,"Putnam, 100",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,US,Glide,Terwilegar,Boston,Tamatave,,,"Putnam, 101",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,US,Glide,Terwilegar,Boston,Tamatave,,,"Putnam, 103",wrecked off the coast of Tamatave,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,Globe,Handy,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18511209.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18511202.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18511118.pdf,"wrecked off the Bhring Straits, East Cape",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Golconda,Chase,New Bedford,Saint Augustine Bay,whaling,NBWM ODHS 373,NBWM 411,,Saint Augustine Bay,05-Apr,13-Apr,,,,Saint Augustine Bay,"April 4, 1837",21-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Good Return,,,Saint Augustin Bay,whaling,,NBWM 24,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,US,Good Return,John Smith Taber,New Bedford,"Mauritius, Sofala, Saint Augustin Bay",whaler,NWBM 97,,,Saint Augustine Bay,11-Aug,03-Sep,"wood, water, trade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,Governor Carver,West,Westport,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530104.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Governor Carver,Higgins,Westport,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551106.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,US,Governor Carver,Beebe,Westport,Zanzibar,whaling,,http://images.mysticseaport.org/images/wsl/18580727.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,Governor Hopkins,Pease,Dartmouth,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480815.pdf,"""crew in state of mutiny""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,Governor Hopkins,Taylor,Dartmouth,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520803.pdf,wrecked off Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,US,Grand Turk,,Salem,Mauritius,,,"Bean, Yankee India, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Grand Turk,David H. Bartlett,New Bedford,"Saint Augistine Bay, Mokamba Bay",whaling,NBWM ODHS 327,,,Saint Augustine Bay,23-Apr,09-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Grand Turk,Luther Little,Portsmouth,"Mauritius, Madagascar",whaling,http://pplspc.org/nicholson/rj5_nicholson_289/pdf/rj5_nicholson_289r.pdf and http://pplspc.org/nicholson/rj5_nicholson_288/pdf/rj5_nicholson_288r.pdf,NARA reel 1,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,GB,Grasshopper,Billinghunt,London,Zanzibar,whaling,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,French,Grenouila,,,Nosy Be,,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520615.pdf,picked up crew of the Junius,Nosy Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Guide,,,"Majunga, Zanzibar",,PE Log 735,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,US,Guide,,,"Nosy Be, Tamatave",,Pe Log 749,,,Nosy Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,US,Guide,McMullen,Salem,Zanzibar,,,"History of Essex County, 85","wrecked off Ras Hoforn in east Africa, cargo lost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Guilford,Benjamin Jackson,,"Nosy Be, Muscat, Bombay",,PE Log 1610,,,Nosy Be,11-Apr,16-Apr,small trade at SAB,powder and port charge,little trade at Boina Bay,Nosy Be,02-May,10-May,Majunga,15-May,18-May,Boyanna Bay,28-Jul,31-Jul,Majunga,02-Aug,03-Aug,Nosy Be,06-Aug,13-Aug,,,,,,,,,,,,,,,
1852,US,Gypsy,Mickell,New Bedford,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530104.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,US,H. H. Crapo,Baker,Dartmouth,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18570414.pdf;http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18561209.pdf,lost off the Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,US,Halycon,Thompson,New London,"Saint Augustin Bay, Mauritius",whaling,,NARA reel 1,,Saint Augustine Bay,,,,,problem with mutiny after SAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,US,Harbinger,Ephraim Gifford,"Westport, MA",Madagascar,whaling,new bedford whaling museum and library - in catalog,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Harbinger,Samuel Brownell,"Westport, MA","Madagascar, Anjouan, Seychelles",whaling,new bedfor whaling library - in catalog,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Harbinger,Brownell,"Westport, MA","Johanna, Nosy Be",whaling,,NBWM 259; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18461201.pdf,,Nosy Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Harriet,Bowen,Warren,Johanna,whaling,,NBWM 259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Harrison,Braley,New Bedford,"Johanna, Mauritius",whaling,NBWM 261,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551113.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Harvest,Brooks,"Bridgeport, CN",Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18451104.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,UK?,Hawk,,,Majunga,,John Study Leigh,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Hecla,Gifford,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Hector,William Martin,"Warren, RI",Nosy Be,whaling,New Bedford whaling library - in catalog,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18470202.pdf,,Nosy Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Hector,Martin,,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18471207.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,Hector,Cutler,Warren,Nosy Be,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18490703.pdf,,Nosy Be,"December 22, 1848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,Hector,Cole,Warren,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18511118.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,US,Hector,Charles A Johnson,Warren,"Zanzibar, Nosy Be, Johanna",whaling,Old Darthmouth Historical society,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541107.pdf; NEM 498; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18540606.pdf,whaling,Nosy Be,"May 30, 1854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Hector,Johnson,Warren,Zanzibar,whaling,,http://images.mysticseaport.org/images/wsl/18570825.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,US,Helen,Greenway,New Bedford,Mauritius,trade,NBWM 601 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Helen Augusta,Marble,Newport,"Mauritius, Java",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf,men had deserted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,US,Henry,,Salem,Mauritius,,,"Bean, Yankee India, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,US,Henry,Jacob Crowninshield,Salem,Mauritius,"took assorted goods, bought sugar",,"History of Essex County, pg 82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,Henry,Lowen,Sag Harbor,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18490904.pdf,,Saint Augustine Bay,"March 16, 1849",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,US,Herald,Frederick Ricketson,New Bedford,"Madagascar, Seychelles",whaling,New Bedford whaling library - in catalog,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,US,Herald,Frederick Ricketson,New Bedford,Mohilla,whaling,NBWM ODHS 770,,"provisioning, see native ships from Madagascar to Mohilla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Herald,,,Saint Augustin Bay,whaling,,NBWM 24,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Herald,,New Bedford,Saint Augustine Bay,whaling,NBWM ODHS 364,,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Herald,Hathaway,Fairhaven,"Saint Augustine Bay, Mauritius",whaling,,"NARA reel 2, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430801.pdf",,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
